Application Location|Application Name|Application Size (Bytes)|Description|Developer Name|Downloads|Minimum SDK/OS Version|Price|Ratings - Average|Ratings - Total|Release Date|Supported Devices|Version|Version Release Date|Version Release Notes
Apple App Store|PNC Mobile Banking|33054720|Now get 24/7 access to PNC Bank account information and services from your iPhone or iPod touch. PNC Mobile Banking is a free service offered to all PNC Online Banking customers. FEATURES CHECK BALANCES - See current account balances for your checking, savings, and credit card accounts. MOBILE DEPOSIT- Use your camera equipped iOS device to deposit checks. VIEW TRANSACTIONS - View recent transaction history in your checking or savings accounts and search for specific transactions by date, amount, or check number. PAY BILLS - Make one-time bill payments to billers you have entered in PNC Online Banking. TRANSFER FUNDS - Transfer funds between your eligible PNC banking accounts. LOCATE PNC - Locate the nearest PNC Bank Branch or ATM using built-in Location Services or search by zip code and street address. SECURITY - With PNC's Security Assurance, you can be confident that your personal and financial information will be protected while using PNC Mobile Banking. * Note to iPod touch Customers During enrollment, provide a personal telephone number when asked to enter a mobile phone number. For installation support, call: 1-800-762-2035 For general support, call: 1-800-PNC-BANK (762-2265) PNC does not charge a fee for mobile banking. However, third party message and data rates may apply. A supported mobile device is needed to use the Mobile Banking App. Use of the Mobile Deposit feature requires a supported camera-equipped device. An eligible PNC Bank account and PNC Bank Online Banking are required. Certain other restrictions apply. See the PNC Online Banking Service Agreement.|PNC Bank, N.A.|N/A|8.0|0|3.5|17048|2009-01-30T00:00:00+00:00|[u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPhone4S-iPhone4S', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPhone5-iPhone5', u'iPodTouchFifthGen-iPodTouchFifthGen', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPhone5c-iPhone5c', u'iPhone5s-iPhone5s', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPhone6-iPhone6', u'iPhone6Plus-iPhone6Plus', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPodTouchSixthGen-iPodTouchSixthGen', u'iPhone6s-iPhone6s', u'iPhone6sPlus-iPhone6sPlus', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular', u'iPhoneSE-iPhoneSE', u'iPhone7-iPhone7', u'iPhone7Plus-iPhone7Plus']|3.4|2016-07-19T13:32:52+00:00|- Check Deposit Now Includes Automatic Image Capture Now its even easier to deposit checks using the PNC Mobile Banking app. When using Mobile Deposit, position your check within the on-screen guides and allow the app to capture the check image automatically. - Minor Fixes and Improvements
Apple App Store|Virtual Wallet|68096000|BANK ON-THE-GO Where's your mobile phone? Got it? Good. With Virtual Wallet, that's how far your bank is. PNC Mobile Banking lets you bank from your iPhone, iPod touch, or iPad, no matter where you are or what time it is. With the mobile deposit feature, you can even deposit money on the go. Check out some of the other Virtual Wallet app features below! APP FEATURES: Quick View Get an at-a-glance view of your Money Bar, Account Balances, the upcoming week, and last five transactions. You can now see available account balances from your Quick View without logging in by tapping and holding the new View button on the Sign In screen. Calendar - View your scheduled payments and transfers, transaction history, paydays, reserve items, checks you wrote, and Danger Days. Activity View recent transaction history for your Spend, Reserve, and Growth accounts as well as your linked Virtual Wallet credit card. Deposit Check Use your camera equipped iOS device to deposit checks using automatic image capture. Now it's even easier to deposit checks using the PNC Virtual Wallet app. When using Mobile Deposit, position your check within the on-screen guides and allow the app to capture the check image automatically. Send Money Send money to friends and family eliminating the need cash, checks or I.O.U.s! With Popmoney you can send money to your contacts by text or email. Transfer - Slide the Money Bar to transfer funds between your spend and reserve accounts or use the Transfer feature to move money between all of your accounts. Pay Bill Add billers and make bill payments straight form your phone. Add Check Checks you wrote can be entered in and calculated into your scheduled out balance. Rewards Center Activate PNCs Cash Back rewards and offers for your Debit and Credit Card. Punch The Pig - Shake or tap the pig to instantly transfer money from your spend to your growth account. Wish List Review items added to your Wish List to be reminded of your savings goals. Reserve Items - Review items and use the Buy Now option to move money from your reserve to your spend account. Locate Find the nearest PNC Bank Branch or ATM by using your current location or search by zip code or address. Security - With PNCs Security Assurance, you can be confident that your personal and financial information will be protected while using the Virtual Wallet App. Regular PNC Online Banking customers without a Virtual Wallet account should use PNC Mobile Banking, also available in the App Store. To access non-Virtual Wallet accounts, customers will need the PNC Mobile Banking App. Both Apps may run on the same iPhone or iPod touch. If you don't have an iPhone or web-enabled device, don't worry: Text Message Banking still brings you your vital information. Follow us for the latest Virtual Wallet updates: Facebook /PNCBank Twitter @PNCBank YouTube /PNC For general support, call 1-800-PNC-BANK (762-2265) PNC does not charge a fee for mobile banking. However, third party message and data rates may apply. A supported mobile device is needed to use the Mobile Banking App. Use of the Mobile Deposit feature requires a supported camera-equipped device. An eligible PNC Bank account and PNC Bank Online Banking are required. Certain other restrictions apply. See the PNC Online Banking Service Agreement.|PNC Bank, N.A.|N/A|8.0|0|2.5|4672|2009-08-04T23:00:00+00:00|[u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPhone4S-iPhone4S', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPhone5-iPhone5', u'iPodTouchFifthGen-iPodTouchFifthGen', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPhone5c-iPhone5c', u'iPhone5s-iPhone5s', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPhone6-iPhone6', u'iPhone6Plus-iPhone6Plus', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPodTouchSixthGen-iPodTouchSixthGen', u'iPhone6s-iPhone6s', u'iPhone6sPlus-iPhone6sPlus', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular', u'iPhoneSE-iPhoneSE', u'iPhone7-iPhone7', u'iPhone7Plus-iPhone7Plus']|5.1.2|2016-10-25T12:57:04+00:00|- Minor Fixes and Improvements
Apple App Store|Virtual Wallet for iPad by PNC|48174080|Now get Virtual Wallet on your iPad. Virtual Wallet by PNC is a free App for all PNC Virtual Wallet customers. Our iPad app is optimized for the iPad experience, with larger graphics and more functionality. FEATURES QUICK VIEW At-a-glance view of Money Bar, the upcoming week, what you spent last week and your last five transactions CALENDAR - View your scheduled payments and transfers, transaction history, paydays, reserve items, and Danger Days in Month and Day view. ACCOUNT DETAIL View scheduled payments, reserve and wish list items. Slide the Money Bar to transfer funds between your Spend and Reserve accounts. Use Transfer Funds to move funds between the Spend, Reserve, and Growth accounts. ACCOUNT ACTIVITY - View transaction history in your Spend, Reserve and Growth accounts as well as a linked Credit Card. MOBILE DEPOSIT- Use your camera equipped iPad to deposit checks. PAY BILLS - Make one-time and recurring bill payments to billers you have already set up online using Virtual Wallet. SOCIAL INTEGRATION View the latest Facebook posts, Tweets and YouTube videos from the Virtual Wallet team LOCATE PNC - Locate the nearest PNC Bank Branch or ATM using built-in Location Services or search by zip code and street address. SECURITY - With PNCs Security Assurance, you can be confident that your personal and financial information will be protected while using the Virtual Wallet App. Regular PNC Online Banking customers without a Virtual Wallet account should use PNC Mobile Banking, also available in the App Store. To access non-Virtual Wallet accounts, customers will need the PNC Mobile Banking App. Both Apps may run on the same iPad. Follow us on Twitter @PNCVWallet for the latest Virtual Wallet updates. Tweet us @PNCVirtualWallet_Help for help with your Virtual Wallet service needs. For mobile banking support, call 1-800-762-2035 For general support, call 1-800-PNC-BANK (762-2265) PNC does not charge a fee for mobile banking. However, third party message and data rates may apply. A supported mobile device is needed to use the Mobile Banking App. Use of the Mobile Deposit feature requires a supported camera-equipped device. An eligible PNC Bank account and PNC Bank Online Banking are required. Certain other restrictions apply. See the PNC Online Banking Service Agreement.|PNC Bank, N.A.|N/A|8.0|0|2|756|2012-07-19T23:00:00+00:00|[u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular']|1.6.2|2015-10-29T14:09:02+00:00|- Minor Fixes and Improvements
Apple App Store|PNC Mobile for iPad|26841088|Now get 24/7 access to PNC Bank account information and services right from your iPad. PNC Mobile Banking is a free service offered to all PNC Online Banking customers. FEATURES CHECK BALANCES - See current account balances for your checking, savings, and credit card accounts. VIEW TRANSACTIONS - View recent transaction history in your checking or savings accounts and search for specific transactions by date, amount, or check number. PAY BILLS - Make one-time bill payments to billers you have entered in PNC Online Banking. MOBILE DEPOSIT- Use your camera equipped iPad to deposit checks. TRANSFER FUNDS - Transfer funds between your eligible PNC banking accounts. LOCATE PNC - Locate the nearest PNC Bank Branch or ATM using built-in Location Services or search by zip code and street address. SECURITY - With PNC's Security Assurance, you can be confident that your personal and financial information will be protected while using PNC Mobile Banking. For installation support, call: 1-800-762-2035 For general support, call: 1-800-PNC-BANK (762-2265) PNC does not charge a fee for mobile banking. However, third party message and data rates may apply. A supported mobile device is needed to use the Mobile Banking App. Use of the Mobile Deposit feature requires a supported camera-equipped device. An eligible PNC Bank account and PNC Bank Online Banking are required. Certain other restrictions apply. See the PNC Online Banking Service Agreement.|PNC Bank, N.A.|N/A|7.0|0|2|333|2012-10-25T23:00:00+00:00|[u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular']|2.2|2016-05-03T13:42:35+00:00|- Minor Fixes and Improvements
Apple App Store|PNC Finder|1006592|"Have you ever been standing in the middle of the city or a strange neighborhood and wondered where your closest PNC Bank ATM or branch is? Well not anymore! PNC Finder is the Free ""Augmented Reality"" app that lets you locate the nearest PNC location and see the best route to get there. Simply point your phone in any direction and the PNC Finder will tell you if there are any PNC locations ahead. Or, by holding the phone horizontally, you can see the concentration of PNC ATMs and/or branches around you. Interested in seeing details about a location? Touch one of the location icons to pull up its hours of operation, and then flip to map mode to decide how you want to get there. FEATURES: - Locate PNC Bank ATMs/branches near you - See location direction and distance in a heads-up display using your phone's camera - Get location details, such as hours of operation - Find out how many ATMs/branches are nearby - View locations on a map to see the best route The PNC Finder app contains ATM/branch locations in the following states: Alabama, Delaware, District of Columbia, Florida, Georgia, Illinois, Indiana, Kentucky, Maryland, Michigan, Missouri, New Jersey, New York, North Carolina, Ohio, Pennsylvania, South Carolina, Virginia, West Virginia, and Wisconsin NOTE: This app uses the location services provided by the device to determine your location. PNC does not capture or store any location data. Location information is used only to provide the app with ""nearby"" PNC branches and/or ATMs. PNC does not charge a fee for mobile banking. However, third party message and data rates may apply."|PNC Bank, N.A.|N/A|7.0|0|2.5|58|2011-10-25T23:00:00+00:00|[u'iPhone4-iPhone4', u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPhone4S-iPhone4S', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPhone5-iPhone5', u'iPodTouchFifthGen-iPodTouchFifthGen', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPhone5c-iPhone5c', u'iPhone5s-iPhone5s', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPhone6-iPhone6', u'iPhone6Plus-iPhone6Plus', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPodTouchSixthGen-iPodTouchSixthGen', u'iPhone6s-iPhone6s', u'iPhone6sPlus-iPhone6sPlus', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular', u'iPhoneSE-iPhoneSE', u'iPhone7-iPhone7', u'iPhone7Plus-iPhone7Plus']|1.1.0|2016-04-07T12:53:26+00:00|- Minor Fixes and Improvements
Apple App Store|PNC SmartAccess Card|41544704|**PLEASE NOTE, IF YOU ARE INSTALLING VER 1.0 OF THE NEW SmartAccess APP FOR THE FIRST TIME YOU WILL NEED TO CREATE A NEW USER ID AND PASSWORD.** With the PNC SmartAccessPrepaid Visa Card mobile app from PNC Bank, you can now access your prepaid card information from your mobile device! This application is free to download and makes it easy for you to bank on the go! Once youve created a secure passcode for logging on, youll have access to: *View balance *View transaction history *Suspend or reactivate cards *Manage alerts *Request balance information via text message Your security is our priority. Mobile data transmissions and card information are protected by 128-bit encryption, just like they are when you bank online. Experience the freedom of mobile banking in the palm of your hands! IMPORTANT: During the enrollment process, please do not close out of this application while awaiting the activation code. It will appear as an SMS/text message within 2 minutes and then must be entered into the application to complete your enrollment. PNC SmartAccess is a registered trademark of The PNC Financial Services Group, Inc. VISA is a registered trademark of Visa International Service Association and used under license. 2016 The PNC Financial Services Group, Inc. All rights reserved. PNC Bank, National Association. Member FDIC|PNC Bank, N.A.|N/A|8.0|0|2|41|2016-06-12T23:00:00+00:00|[u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPhone4S-iPhone4S', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPhone5-iPhone5', u'iPodTouchFifthGen-iPodTouchFifthGen', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPhone5c-iPhone5c', u'iPhone5s-iPhone5s', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPhone6-iPhone6', u'iPhone6Plus-iPhone6Plus', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPodTouchSixthGen-iPodTouchSixthGen', u'iPhone6s-iPhone6s', u'iPhone6sPlus-iPhone6sPlus', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular', u'iPhoneSE-iPhoneSE', u'iPhone7-iPhone7', u'iPhone7Plus-iPhone7Plus']|1.0|2016-06-13T13:30:08+00:00|
Apple App Store|PNC Retirement Directions|790528|With the PNC Retirement Directions App, you get on-the-go access, so you can track your retirement plan account investing progress no matter where you are: Check your retirement plan account balance View personal performance See how much youre contributing each paycheck Look at your account activity Easy access to Vested Interest Participant Services Representatives contact info for answers to your questions Stay connected to your retirement plan account. Download the PNC Retirement Directions App today. Account data shown in the screen shots is for illustrative purposes only and is not a recommendation to buy or sell securities or engage in investment strategies.|PNC Bank, N.A.|N/A|4.3|0|1|33|2013-06-30T23:00:00+00:00|[u'iPhone3GS-iPhone-3GS', u'iPadWifi-iPadWifi', u'iPad3G-iPad3G', u'iPodTouchThirdGen-iPodTouchThirdGen', u'iPhone4-iPhone4', u'iPodTouchFourthGen-iPodTouchFourthGen', u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPhone4S-iPhone4S', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPhone5-iPhone5', u'iPodTouchFifthGen-iPodTouchFifthGen', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPhone5c-iPhone5c', u'iPhone5s-iPhone5s', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPhone6-iPhone6', u'iPhone6Plus-iPhone6Plus', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPodTouchSixthGen-iPodTouchSixthGen', u'iPhone6s-iPhone6s', u'iPhone6sPlus-iPhone6sPlus', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular', u'iPhoneSE-iPhoneSE', u'iPhone7-iPhone7', u'iPhone7Plus-iPhone7Plus']|1.0|2013-07-01T06:00:00+00:00|
Apple App Store|PNC Wealth Insight For Mobile|33148928|PNC Wealth Insight from PNC Wealth Management was built to let you see where you stand at a glance, or quickly drill down into the details that matter most. All to help you achieve more with your money. By downloading and installing this app you agree to the terms and conditions as outlined in the PNC License Agreement. With the PNC Wealth Insight mobile app you can keep track of your PNC Wealth Management accounts on the go. App Features: - Review your mobile Brief summary - Customize views with the My PNC Folio tool - View asset allocation - Keep track of your income and cash flow - Monitor your portfolio performance - Review recent transactions - Track your net worth - Quickly and easily contact PNC Wealth Insight support|PNC Bank, N.A.|N/A|8.0|0|2|21|2012-10-31T00:00:00+00:00|[u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPhone4S-iPhone4S', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPhone5-iPhone5', u'iPodTouchFifthGen-iPodTouchFifthGen', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPhone5c-iPhone5c', u'iPhone5s-iPhone5s', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPhone6-iPhone6', u'iPhone6Plus-iPhone6Plus', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPodTouchSixthGen-iPodTouchSixthGen', u'iPhone6s-iPhone6s', u'iPhone6sPlus-iPhone6sPlus', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular', u'iPhoneSE-iPhoneSE', u'iPhone7-iPhone7', u'iPhone7Plus-iPhone7Plus']|1.8.2|2015-10-06T12:35:29+00:00|- Minor Improvements
Apple App Store|PINACLE for iPad|81664000|PINACLE for iPad Get 24/7 access to PINACLE, PNC Banks corporate online and mobile banking portal. The PINACLE Mobile App is a service offered exclusively to all PINACLE and PINACLE Express operators. There is no separate fee for the app. FEATURES APPROVE and DECISION ITEMS Approve wire transfers or templates, ACH batches or templates, and operator passwords, and review Positive Pay exceptions and ACH Positive Pay suspects. VIEW BALANCES and TRANSACTION DETAILS View Current Day and Previous Day account balances and transactions, or drill down into individual account details from your dashboard. INITIATE PAYMENTS Initiate real-time account transfers, repetitive wire transfers, ACH batches from templates, and review daily activity for all three payment types in the Manage Payments feature. SEARCH FOR TRANSACTIONS and IMAGES Conduct a search for individual transactions or a range of transactions; view transaction details including images (when available). VIEW REAL-TIME CREDIT INFORMATION and RECENT TRANSACTIONS View details of commitments, loans and letters of credit, including availability, balances, maturity dates/rates, and recent transaction history. MANAGE OPERATOR ACCESS Change and approve operator passwords, unlock operators, clear operator sessions and prompt re-enrollment of security questions. NOTIFICATIONS View Event Notifications, System Alerts and Informational Messages to keep informed of business activities. SECURITY Authentication credentials for the app are the same as what you use for the PINACLE desktop application. Additionally, the PINACLE Mobile App provides enhanced detection and security controls specific to device utilization in a mobile network environment. To get started, download and launch the app. Then log in with your existing PINACLE Company User ID, Operator ID, password and token passcode (if required). Its that simple! Follow us on Twitter @PNC_PINACLE for the latest PINACLE news and updates. For PINACLE questions or support, call Treasury Management Client Care at 1-800-669-1518 or tmcc@pnc.com PNC does not charge a fee for this application. However, third party message and data rates may apply. A supported mobile device is needed to use the PINACLE Mobile App. Certain other restrictions may apply. See the PINACLE Service Agreement. iPad is a trademark of Apple Inc., registered in the U.S. and other countries. PNC and PINACLE are registered marks of The PNC Financial Services Group, Inc. (PNC). Bank deposit, treasury management products and services are provided by PNC Bank, National Association, a wholly-owned subsidiary of PNC and Member FDIC. 2017 The PNC Financial Services Group, Inc. All rights reserved.|PNC Bank, N.A.|N/A|5.1.1|0|4.5|9|2014-02-04T00:00:00+00:00|[u'iPadWifi-iPadWifi', u'iPad3G-iPad3G', u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular']|1.10|2017-02-06T15:14:44+00:00|- Minor Fixes and Improvements
Apple App Store|PNC BeneFit Plus|8645632|Save time and gain the insight you need to manage your Health Savings Account (HSA), Flexible Spending Account (FSA), Health Reimbursement Arrangement (HRA) or Qualified Transportation Account (QTA). Our secure app makes managing your tax-advantaged account(s) easy through quick access and intuitive navigation to all your important account information while you are on the go! This app is designed for your Apple device (including iPhone, iPad, and iPod touch ) version 6.0 and higher. Powerful features of the PNC BeneFit Plus app include: Easy, Convenient & Secure - Simply log in to the intuitive app to begin managing your account(s) quickly and easily - No sensitive account information is ever stored on your mobile device; secure encryption is used to protect all transmissions Connects You with the Details - Quickly check available balances 24/7, including investment balances for HSAs - Access account details - View charts summarizing your account(s) - Click to call or email PNC BeneFit Plus Customer Service with questions - View notifications and messages about your account Provides Additional Time-Saving Options - View claims requiring receipts - Submit medical FSA and HRA claims - Take a picture of a receipt and submit for a new or existing claim - View transaction details - Request HSA distributions - Make HSA contributions - Using Expense Tracker, enter medical expense information and supporting documentation to store for later use in paying claims online or for personal recordkeeping - Report your debit card as lost or stolen *This is not the PNC Mobile Banking app, which allows you to access your bank and brokerage accounts. For questions or support, call or email the PNC BeneFit Plus Customer Service Center at 844-356-9993 or pncbenefitplus@healthaccountservices.com No personal or sensitive data is stored on the PNC BeneFit Plus mobile app. PNC will deliver bug fixes and updates to the application from time to time. PNC does not charge a fee for this application. However, third party message and data rates may apply. A supported mobile device is needed to use the PNC BeneFit Plus Mobile App. Shares of mutual funds are not deposits or obligations or guaranteed endorsed by any bank, nor are they federally insured or otherwise supported by the Federal Deposit Insurance Corporate or other government agency. Investments in mutual funds may lose value, including possible loss of principal. Please read the prospectus carefully before you invest. Investments Not FDIC Insured. No Bank or Federal Government Guarantee. May lose value. PNC is a registered mark of The PNC Financial Services Group, Inc. (PNC). iPhone, iPad, and iPod touch are trademarks of Apple Inc., registered in the U.S. and other countries. Banking and lending products and services, bank deposit products, and treasury management services, including, but not limited to, services for clients and/or customers, are provided by PNC Bank, National Association, a wholly-owned subsidiary of PNC and Member FDIC. We are committed to protecting the privacy of your information. Please view our Privacy Policy for Consumers. 2015 The PNC Financial Services Group, Inc. All rights reserved.|PNC Bank, N.A.|N/A|6.0|0|N/A|N/A|2015-11-05T00:00:00+00:00|[u'iPhone3GS-iPhone-3GS', u'iPhone4-iPhone4', u'iPodTouchFourthGen-iPodTouchFourthGen', u'iPad2Wifi-iPad2Wifi', u'iPad23G-iPad23G', u'iPhone4S-iPhone4S', u'iPadThirdGen-iPadThirdGen', u'iPadThirdGen4G-iPadThirdGen4G', u'iPhone5-iPhone5', u'iPodTouchFifthGen-iPodTouchFifthGen', u'iPadFourthGen-iPadFourthGen', u'iPadFourthGen4G-iPadFourthGen4G', u'iPadMini-iPadMini', u'iPadMini4G-iPadMini4G', u'iPhone5c-iPhone5c', u'iPhone5s-iPhone5s', u'iPadAir-iPadAir', u'iPadAirCellular-iPadAirCellular', u'iPadMiniRetina-iPadMiniRetina', u'iPadMiniRetinaCellular-iPadMiniRetinaCellular', u'iPhone6-iPhone6', u'iPhone6Plus-iPhone6Plus', u'iPadAir2-iPadAir2', u'iPadAir2Cellular-iPadAir2Cellular', u'iPadMini3-iPadMini3', u'iPadMini3Cellular-iPadMini3Cellular', u'iPodTouchSixthGen-iPodTouchSixthGen', u'iPhone6s-iPhone6s', u'iPhone6sPlus-iPhone6sPlus', u'iPadMini4-iPadMini4', u'iPadMini4Cellular-iPadMini4Cellular', u'iPadPro-iPadPro', u'iPadProCellular-iPadProCellular', u'iPadPro97-iPadPro97', u'iPadPro97Cellular-iPadPro97Cellular', u'iPhoneSE-iPhoneSE', u'iPhone7-iPhone7', u'iPhone7Plus-iPhone7Plus']|4.5.0|2016-06-01T11:43:03+00:00|- Minor Fixes and Improvements - New 'Forgot Username and Password' functionality
